Comment,Designator,Footprint,LCSC,Quantity
1.2K,"R2,R3,R4",R_0603_1608Metric,C22765,3
100nF,"C1,C10,C13,C14,C2,C3,C9",C_0603_1608Metric,C14663,7
10K,"R1,R8",R_0603_1608Metric,C25804,2
10nF,"C11,C6",C_0603_1608Metric,C57112,2
120,R5,R_0603_1608Metric,C22787,1
1uF,"C4,C7",C_0603_1608Metric,C15849,2
330R(1/4W),R9,R_1206_3216Metric,C2907482,1
33uF,"C5,C8",CAP-SMD_BD6.3-L6.6-W6.6-FD-1,C240518,2
5.1K,"R6,R7",R_0603_1608Metric,C23186,2
820R(1/4W),"R10,R11",R_1206_3216Metric,C2974057,2
BT151,Q2,TO-252-2_L6.6-W6.1-P4.57-LS10.1-BR-CW,C2900856,1
CJ7805,LDO1,TO-252-2_L6.6-W6.1-P4.58-LS10.1-BR-CW,C21706,1
DTA123,Q4,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C426848,1
DTC123,"Q1,Q3",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C406040,2
HC-TYPE-C-16P-01A,U2,USB-C-SMD_HC-TYPE-C-16P-01A,C2894897,1
KT-0603R,LED1,LED-SMD_L1.6-W0.8-R-RD,C2286,1
PIC16F1455-I/SL,U1,PIC16F1455-SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,C640946,1
SD103AW,"D1,D2,D3,D4,D5,D6",SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,C181204,6
SS34_C8678,D12,SS34_SMA_L4.3-W2.6-LS5.2-RD,C8678,1
"TB67H450FNG,EL",U5,HSOP-8_L5.0-W4.0-P1.27-LS6.2-BL-EP,C545417,1
TLP785BL,"U3,U4",SOP-4_L6.5-W4.6-P2.54-LS10.0,C2848507,2
US2M,"D10,D11,D13,D7,D8,D9",US2M_SMA_L4.4-W2.8-LS5.4-RD,C64958,6
