Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,13.589,12.84,-90.0,top
C10,100nF,C_0603_1608Metric,49.53,22.225,-90.0,top
C11,10nF,C_0603_1608Metric,60.6425,16.8275,180.0,top
C13,100nF,C_0603_1608Metric,15.227,5.969,180.0,top
C14,100nF,C_0603_1608Metric,18.275,18.415,180.0,top
C2,100nF,C_0603_1608Metric,34.925,15.0625,90.0,top
C3,100nF,C_0603_1608Metric,27.7625,9.779,0.0,top
C4,1uF,C_0603_1608Metric,82.2325,23.8125,180.0,top
C5,33uF,CAP-SMD_BD6.3-L6.6-W6.6-FD-1,73.66,14.2875,180.0,top
C6,10nF,C_0603_1608Metric,47.9425,16.9675,-90.0,top
C7,1uF,C_0603_1608Metric,82.2325,20.6375,180.0,top
C8,33uF,CAP-SMD_BD6.3-L6.6-W6.6-FD-1,73.66,6.35,0.0,top
C9,100nF,C_0603_1608Metric,41.5925,20.6375,0.0,top
D1,SD103AW,SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,45.085,16.1925,-90.0,top
D10,US2M,US2M_SMA_L4.4-W2.8-LS5.4-RD,83.185,48.5775,0.0,top
D11,US2M,US2M_SMA_L4.4-W2.8-LS5.4-RD,83.185,39.6875,0.0,top
D12,SS34_C8678,SS34_SMA_L4.3-W2.6-LS5.2-RD,83.821,29.21,180.0,top
D13,US2M,US2M_SMA_L4.4-W2.8-LS5.4-RD,70.5104,56.8325,0.0,top
D2,SD103AW,SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,85.09,16.2975,90.0,top
D3,SD103AW,SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,34.6075,10.3725,-90.0,top
D4,SD103AW,SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,37.1475,10.3725,-90.0,top
D5,SD103AW,SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,60.6425,3.175,0.0,top
D6,SD103AW,SD103AW_SOD-123_L2.8-W1.8-LS3.7-RD,60.6425,8.89,0.0,top
D7,US2M,US2M_SMA_L4.4-W2.8-LS5.4-RD,10.16,49.5554,-90.0,top
D8,US2M,US2M_SMA_L4.4-W2.8-LS5.4-RD,53.34,50.8,180.0,top
D9,US2M,US2M_SMA_L4.4-W2.8-LS5.4-RD,53.34,54.9275,0.0,top
LDO1,CJ7805,TO-252-2_L6.6-W6.1-P4.58-LS10.1-BR-CW,90.1275,23.495,180.0,top
LED1,KT-0603R,LED-SMD_L1.6-W0.8-R-RD,30.04745,27.94,0.0,top
Q1,DTC123,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,29.845,15.24,270.0,top
Q2,BT151,TO-252-2_L6.6-W6.1-P4.57-LS10.1-BR-CW,60.96,43.18,-90.0,top
Q3,DTC123,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,40.64,15.24,270.0,top
Q4,DTA123,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,81.2325,15.5575,270.0,top
R1,10K,R_0603_1608Metric,15.24,12.827,90.0,top
R10,820R(1/4W),R_1206_3216Metric,60.6425,11.43,0.0,top
R11,820R(1/4W),R_1206_3216Metric,60.6425,14.605,0.0,top
R2,1.2K,R_0603_1608Metric,33.02,15.1125,90.0,top
R3,1.2K,R_0603_1608Metric,36.83,15.1125,90.0,top
R4,1.2K,R_0603_1608Metric,49.8475,16.955,90.0,top
R5,120,R_0603_1608Metric,41.5925,18.415,0.0,top
R6,5.1K,R_0603_1608Metric,88.9,9.207,90.0,top
R7,5.1K,R_0603_1608Metric,87.376,9.207,90.0,top
R8,10K,R_0603_1608Metric,40.132,10.478,90.0,top
R9,330R(1/4W),R_1206_3216Metric,60.6425,5.715,0.0,top
U1,PIC16F1455-I/SL,PIC16F1455-SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,21.59,9.8425,-90.0,top
U2,HC-TYPE-C-16P-01A,USB-C-SMD_HC-TYPE-C-16P-01A,93.925,13.82,90.0,top
U3,TLP785BL,SOP-4_L6.5-W4.6-P2.54-LS10.0,49.075,4.445,90.0,top
U4,TLP785BL,SOP-4_L6.5-W4.6-P2.54-LS10.0,49.075,10.16,90.0,top
U5,"TB67H450FNG,EL",HSOP-8_L5.0-W4.0-P1.27-LS6.2-BL-EP,44.7675,27.305,-90.0,top
